epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7138,1.79069,2.04945,1.88479,0.00852,0.33973,0.00563,0.00185,3.28331,inf,24.854,0.000664523,0.000664523,0.000664523
1,90.4118,1.86539,2.17064,1.95202,0.35345,0.33604,0.23123,0.08746,2.17697,2.77251,2.31108,0.000665595,0.000665595,0.000665595
1,88.9717,1.86539,2.17064,1.95202,0.35345,0.33604,0.23123,0.08746,2.17697,2.77251,2.31108,0.000665595,0.000665595,0.000665595
1,71.3756,1.75909,2.22447,2.06263,0.14496,0.27178,0.08436,0.0251,2.62134,4.44204,3.54182,0.000662393,0.000662393,0.000662393
2,140.609,1.90186,2.40184,2.20493,0.04772,0.09273,0.01117,0.00306,3.43323,4.65108,4.58149,0.00132874,0.00132874,0.00132874
3,208.979,1.8647,2.36979,2.1733,0.19363,0.21583,0.1166,0.03896,2.45844,3.43371,2.88901,0.00199378,0.00199378,0.00199378
4,277.444,1.81951,2.30628,2.12162,0.17318,0.21743,0.10049,0.02841,2.67908,3.71958,3.08219,0.00199561,0.00199561,0.00199561
5,345.096,1.74939,2.26326,2.07355,0.41641,0.31769,0.26891,0.10318,2.08751,2.45323,2.5504,0.00199219,0.00199219,0.00199219
6,411.579,1.71668,2.21262,2.02868,0.39563,0.38529,0.29866,0.12936,1.98184,2.29644,2.43765,0.00198781,0.00198781,0.00198781
7,478.611,1.70925,2.19904,2.02623,0.43101,0.38449,0.29877,0.12431,2.01025,2.36307,2.46664,0.00198246,0.00198246,0.00198246
8,545.501,1.66606,2.15404,1.9997,0.4249,0.37739,0.29345,0.12229,2.02841,2.39585,2.4918,0.00197616,0.00197616,0.00197616
9,612.67,1.64878,2.11318,1.97408,0.42984,0.3701,0.31836,0.14899,1.94778,2.27094,2.40542,0.0019689,0.0019689,0.0019689
10,679.301,1.61911,2.06097,1.93927,0.50216,0.42046,0.35435,0.16817,1.9084,2.17495,2.34701,0.00196069,0.00196069,0.00196069
11,745.122,1.59965,2.02729,1.92247,0.4665,0.40288,0.34679,0.1543,1.96889,2.18877,2.34337,0.00195155,0.00195155,0.00195155
